4, 65.83
11, 62.92
4, 61.57
10, 66.24
9, 72.10
5, 64.94
6, 61.64
6, 69.22
4, 67.66
6, 58.12
5, 68.51
11, 63.58
5, 60.88
5, 74.36
7, 60.67
6, 70.03
11, 61.89
11, 62.03
6, 65.56
6, 66.10
4, 68.47
5, 67.70
10, 69.41
6, 69.08
11, 63.51
10, 68.03
6, 64.62
6, 65.16
5, 68.51
6, 63.80
10, 66.08
5, 72.57
6, 64.21
10, 68.76
6, 60.29
5, 73.06
5, 65.27
5, 70.46
6, 64.07
6, 59.21
5, 66.56
5, 64.62
6, 70.30
5, 73.71
5, 68.84
5, 67.54
6, 65.43
6, 58.66
5, 73.06
6, 64.89
6, 68.40
5, 61.69
5, 62.67
9, 72.73
4, 62.18
5, 70.30
5, 67.86
10, 67.70
4, 69.89
4, 74.76
5, 65.43
7, 66.94
5, 66.89
4, 65.02
6, 66.78
4, 62.99
5, 69.16
5, 67.70
5, 69.32
6, 65.16
6, 61.78
3, 65.43
5, 67.05
4, 73.34
5, 60.07
6, 62.86
5, 64.94
5, 69.16
6, 62.45
11, 63.58
6, 61.10
5, 67.54
5, 66.40
6, 61.91
6, 65.02
10, 66.32
9, 64.62
6, 64.75
6, 66.38
10, 66.00
6, 67.59
6, 64.08
6, 62.72
4, 72.73
5, 71.92
5, 67.54
5, 68.68
6, 62.99
4, 61.78
4, 63.60
6, 64.35
6, 65.02
6, 59.48
4, 67.25
5, 63.64
6, 64.75
4, 71.92
6, 63.80
5, 62.02
6, 62.45
5, 69.16
5, 70.79
11, 63.58
6, 63.53
5, 62.02
6, 63.53
6, 62.32
5, 71.92
2, 71.92
4, 65.83
4, 76.18
3, 58.12
10, 66.57
4, 65.23
8, 64.82
6, 65.43
3, 65.70
6, 60.83
6, 66.51
4, 70.50
10, 68.11
5, 68.68
6, 63.26
11, 62.85
9, 68.68
4, 60.96
6, 69.22
6, 62.59
11, 63.73
5, 64.29
4, 71.92
6, 65.97
4, 67.05
6, 63.26
9, 63.35
6, 65.56
9, 71.92
10, 67.13
5, 74.20
10, 70.14
4, 69.08
6, 64.89
10, 68.11
5, 61.04
5, 69.81
10, 68.76
6, 66.78
6, 62.05
10, 68.35
5, 66.89
5, 65.92
7, 74.47
5, 71.11
5, 76.47
6, 61.50
5, 63.64
6, 65.97
6, 65.97
6, 66.65
6, 64.08
6, 67.32
7, 65.08
9, 68.77
9, 68.86
4, 67.86
3, 68.13
5, 75.33
10, 65.35
6, 65.16
4, 71.92
6, 66.24
4, 63.81
5, 70.79
4, 74.77
4, 69.49
5, 69.65
5, 75.33
6, 65.29
5, 65.27
5, 63.97
2, 77.61
10, 69.89
6, 66.10
6, 63.26
6, 66.78
5, 69.81
5, 77.61
10, 68.59
5, 65.27
3, 70.03
6, 60.96
3, 63.53
5, 66.24
10, 69.08
11, 63.29
10, 64.37
10, 61.61
7, 66.24
11, 61.89
5, 59.42
6, 66.65
5, 67.05
5, 64.29
10, 64.21
7, 58.12
5, 69.81
4, 64.41
3, 77.61
6, 70.98
7, 63.80
2, 62.18
6, 65.97
9, 70.84
6, 60.83
11, 62.92
5, 59.75
6, 67.32
10, 64.62
11, 63.66
4, 70.70
5, 68.84
6, 65.70
6, 65.70
6, 65.56
4, 65.02
6, 62.72
5, 60.72
6, 66.51
6, 60.56
6, 64.62
11, 63.73
6, 61.37
7, 60.21
9, 63.99
6, 66.38
6, 62.18
10, 69.24
7, 60.44
4, 64.21
5, 65.92
5, 65.75
5, 64.78
5, 73.22
10, 62.51
5, 68.03
10, 69.24
6, 63.13
5, 67.54
4, 77.61
6, 62.99
6, 66.38
11, 62.55
6, 63.40
2, 69.08
4, 66.24
6, 61.37
5, 62.34
6, 63.94
5, 66.40
5, 70.79
6, 63.13
6, 65.83
4, 67.86
5, 74.20
5, 66.57
5, 69.81
6, 65.43
6, 66.24
6, 65.02
3, 71.11
6, 64.08
7, 75.17
6, 66.51
6, 64.35
3, 70.03
6, 68.40
10, 67.05
6, 65.70
5, 64.29
6, 66.51
5, 64.62
10, 66.40
4, 58.12
5, 71.92
6, 68.27
